Year,Date,Column1,Library Code,as_library_code,Catalog Title,Call Number,as_call_number_category,Circulation,Item Category
2011,1/20/2011,,SC,Unknown,,PK-#195 INTO-THE-BE 2009,Out of circulation,1,
2011,5/19/2011,,SC,Unknown,,PK-#194 HER-FEARFUL 2009,Out of circulation,1,
2011,6/14/2011,,SC,Unknown,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,8/17/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #2 2010,Accessibility Device,1,
2011,8/17/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #7  2010,Accessibility Device,1,
2011,8/18/2011,,AB,Aberdeen,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,8/18/2011,,NM,North Mason,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,8/18/2011,,NM,North Mason,,KIT WATAP HOUSEHOLD #7  2010,Accessibility Device,1,
2011,8/20/2011,,CH,Chehalis,,KIT WATAP KITCHEN #5  2010,Accessibility Device,1,
2011,8/22/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #6  2010,Accessibility Device,1,
2011,8/22/2011,,SC,Unknown,,KIT WATAP KITCHEN #2  2010,Accessibility Device,1,
2011,8/25/2011,,AB,Aberdeen,,KIT WATAP COMMUNICATION #2 2010,Accessibility Device,1,
2011,8/25/2011,,CE,Centralia,,KIT WATAP KITCHEN #5  2010,Accessibility Device,1,
2011,8/25/2011,,CH,Chehalis,,KIT WATAP KITCHEN #5  2010,Accessibility Device,1,
2011,8/25/2011,,SC,Unknown,,PK-#202 HELP 2009,Out of circulation,1,
2011,8/26/2011,,LA,Lacey,,KIT WATAP KITCHEN #6 2010,Accessibility Device,1,
2011,8/27/2011,,LA,Lacey,,KIT WATAP READ/WRITE #3  2010,Accessibility Device,1,
2011,8/27/2011,,LA,Lacey,,KIT WATAP READ/WRITE #4  2010,Accessibility Device,1,
2011,8/30/2011,,WI,Winlock,,KIT WATAP READ/WRITE #6  2010,Accessibility Device,1,
2011,8/31/2011,,CH,Chehalis,,KIT WATAP HOUSEHOLD #3 2010,Accessibility Device,1,
2011,9/6/2011,,CH,Chehalis,,KIT WATAP READ/WRITE #2  2010,Accessibility Device,1,
2011,9/6/2011,,SC,Unknown,,PK-#198 ELEGANCE-OF 2008,Out of circulation,1,
2011,9/7/2011,,SC,Unknown,,KIT WATAP DRESSING #1  2010,Accessibility Device,1,
2011,9/7/2011,,HP,Hoodsport,,KIT WATAP READ/WRITE #4  2010,Accessibility Device,1,
2011,9/10/2011,,SB,South Bend,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,9/10/2011,,SB,South Bend,,KIT WATAP HOUSEHOLD #7  2010,Accessibility Device,1,
2011,9/14/2011,,CH,Chehalis,,KIT WATAP HOUSEHOLD #7  2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP COMP.-ACCESS #4 2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #1 2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #3 2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP HOUSEHOLD #4 2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP KITCHEN #4  2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP KITCHEN #6 2010,Accessibility Device,1,
2011,9/15/2011,,SC,Unknown,,KIT WATAP LEISURE #1  2010,Accessibility Device,1,
2011,9/20/2011,,TE,Tenino,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,9/22/2011,,CH,Chehalis,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,10/1/2011,,OL,Olympia,,KIT WATAP COMMUNICATION #1 2010,Accessibility Device,1,
2011,10/6/2011,,MC,McCleary,,KIT WATAP READ/WRITE #4  2010,Accessibility Device,1,
2011,10/7/2011,,SH,Shelton,,KIT WATAP DRESSING #3  2010,Accessibility Device,1,
2011,10/7/2011,,SH,Shelton,,KIT WATAP HOUSEHOLD #6  2010,Accessibility Device,1,
2011,10/7/2011,,SH,Shelton,,KIT WATAP LEISURE #2  2010,Accessibility Device,1,
2011,10/7/2011,,SH,Shelton,,KIT WATAP READ/WRITE #1  2010,Accessibility Device,1,
2011,10/7/2011,,SH,Shelton,,KIT WATAP READ/WRITE #6  2010,Accessibility Device,1,
